t_s,t_h,C_h2o_out_mol_m3,C_co2_out_mol_m3
4.320000000000000000e+03,1.199999999999999956e+00,2.943532032429162362e-13,4.449291858782696732e-14
4.380000000000000000e+03,1.216666666666666563e+00,2.931544617792117770e-13,4.429684983567929244e-14
4.440000000000000000e+03,1.233333333333333393e+00,2.919115829779405856e-13,4.410182617888945945e-14
4.500000000000000000e+03,1.250000000000000000e+00,2.906259381463744222e-13,4.390788613212059019e-14
4.560000000000000000e+03,1.266666666666666607e+00,2.892994783709258759e-13,4.371499444039952411e-14
4.620000000000000000e+03,1.283333333333333437e+00,2.879335831174297166e-13,4.352307740887553249e-14
4.680000000000000000e+03,1.300000000000000044e+00,2.865287270182891028e-13,4.333211000426084796e-14
4.740000000000000000e+03,1.316666666666666652e+00,2.850854042173408420e-13,4.314213693936278649e-14
4.800000000000000000e+03,1.333333333333333259e+00,2.836050524425527828e-13,4.295319970239368556e-14
4.860000000000000000e+03,1.350000000000000089e+00,2.820897283220875517e-13,4.276526832411635541e-14
4.920000000000000000e+03,1.366666666666666696e+00,2.805409788944408848e-13,4.257826961832750050e-14
4.980000000000000000e+03,1.383333333333333304e+00,2.789594324583458626e-13,4.239217321593248146e-14
5.040000000000000000e+03,1.399999999999999911e+00,2.773456507276892104e-13,4.220701916259803236e-14
5.100000000000000000e+03,1.416666666666666741e+00,2.757010814388831332e-13,4.202285037487207122e-14
5.160000000000000000e+03,1.433333333333333348e+00,2.740278248632730135e-13,4.183964164674334365e-14
5.220000000000000000e+03,1.449999999999999956e+00,2.723275380657501941e-13,4.165732092382960303e-14
5.280000000000000000e+03,1.466666666666666563e+00,2.706009580686601003e-13,4.147585373224878742e-14
5.340000000000000000e+03,1.483333333333333393e+00,2.688486778158815396e-13,4.129527673754022418e-14
5.400000000000000000e+03,1.500000000000000000e+00,2.670721164765044900e-13,4.111563568408122796e-14
5.460000000000000000e+03,1.516666666666666607e+00,2.652733735517243006e-13,4.093691207606846954e-14
5.520000000000000000e+03,1.533333333333333437e+00,2.634541734222273895e-13,4.075903752787053251e-14
5.580000000000000000e+03,1.550000000000000044e+00,2.616153283669473293e-13,4.058197596071658856e-14
5.640000000000000000e+03,1.566666666666666652e+00,2.597574349191651170e-13,4.040576241847264935e-14
5.700000000000000000e+03,1.583333333333333259e+00,2.578818515752783514e-13,4.023044637350833211e-14
5.760000000000000000e+03,1.600000000000000089e+00,2.559906372046679630e-13,4.005601641682425058e-14
5.820000000000000000e+03,1.616666666666666696e+00,2.540855448456908743e-13,3.988240777032437640e-14
5.880000000000000000e+03,1.633333333333333304e+00,2.521674354612000319e-13,3.970958183222218639e-14
5.940000000000000000e+03,1.649999999999999911e+00,2.502368947960318082e-13,3.953756990796370237e-14
6.000000000000000000e+03,1.666666666666666741e+00,2.482952086963750714e-13,3.936642226722251148e-14
6.060000000000000000e+03,1.683333333333333348e+00,2.463443786658456028e-13,3.919613177508658167e-14
6.120000000000000000e+03,1.699999999999999956e+00,2.443861676974361888e-13,3.902663522259526592e-14
6.180000000000000000e+03,1.716666666666666563e+00,2.424214705899898449e-13,3.885789014193173339e-14
6.240000000000000000e+03,1.733333333333333393e+00,2.404508496436823447e-13,3.868992305619819059e-14
6.300000000000000000e+03,1.750000000000000000e+00,2.384754994701346124e-13,3.852278423298336625e-14
6.360000000000000000e+03,1.766666666666666607e+00,2.364973366513885028e-13,3.835647055005298596e-14
6.420000000000000000e+03,1.783333333333333437e+00,2.345181059055054895e-13,3.819092071084317163e-14
6.480000000000000000e+03,1.800000000000000044e+00,2.325387186070276616e-13,3.802608891191266149e-14
6.540000000000000000e+03,1.816666666666666652e+00,2.305597095562589940e-13,3.786199721203405026e-14
6.600000000000000000e+03,1.833333333333333259e+00,2.285821822276223885e-13,3.769869620245313111e-14
6.660000000000000000e+03,1.850000000000000089e+00,2.266079633212080554e-13,3.753618778911808848e-14
6.720000000000000000e+03,1.866666666666666696e+00,2.246387698470955546e-13,3.737441463685183576e-14
6.780000000000000000e+03,1.883333333333333304e+00,2.226755230346380830e-13,3.721333021225066901e-14
6.840000000000000000e+03,1.899999999999999911e+00,2.207187289497936739e-13,3.705295440097967247e-14
6.900000000000000000e+03,1.916666666666666741e+00,2.187693986316855126e-13,3.689333962956622209e-14
6.960000000000000000e+03,1.933333333333333348e+00,2.168292615513934229e-13,3.673449370669796590e-14
7.020000000000000000e+03,1.949999999999999956e+00,2.148999956786642870e-13,3.657636370151626829e-14
7.080000000000000000e+03,1.966666666666666563e+00,2.129825244528438151e-13,3.641890215759765329e-14
7.140000000000000000e+03,1.983333333333333393e+00,2.110773245908509084e-13,3.626212560209304108e-14
7.200000000000000000e+03,2.000000000000000000e+00,2.091853158898407373e-13,3.610608621243058107e-14
7.260000000000000000e+03,2.016666666666666607e+00,2.073081268232514782e-13,3.595079534035191992e-14
7.320000000000000000e+03,2.033333333333333215e+00,2.054473881480029667e-13,3.579620239174946642e-14
7.380000000000000000e+03,2.049999999999999822e+00,2.036040200441691112e-13,3.564225723072216663e-14
7.440000000000000000e+03,2.066666666666666874e+00,2.017784716824556894e-13,3.548897128928516842e-14
7.500000000000000000e+03,2.083333333333333481e+00,1.999715771845533577e-13,3.533639480515112584e-14
7.560000000000000000e+03,2.100000000000000089e+00,1.981848666132833026e-13,3.518454153439737191e-14
7.620000000000000000e+03,2.116666666666666696e+00,1.964199214932428091e-13,3.503336309893533479e-14
7.680000000000000000e+03,2.133333333333333304e+00,1.946776565091828576e-13,3.488280748953820376e-14
7.740000000000000000e+03,2.149999999999999911e+00,1.929584942280992178e-13,3.473288228108651948e-14
7.800000000000000000e+03,2.166666666666666519e+00,1.912631845698648806e-13,3.458363713462821159e-14
7.860000000000000000e+03,2.183333333333333126e+00,1.895931562186115728e-13,3.443508980819652045e-14
7.920000000000000000e+03,2.200000000000000178e+00,1.879499340634655094e-13,3.428719608849307669e-14
7.980000000000000000e+03,2.216666666666666785e+00,1.863344215374740883e-13,3.413990408086982811e-14
8.040000000000000000e+03,2.233333333333333393e+00,1.847470159456826251e-13,3.399321897011812875e-14
8.100000000000000000e+03,2.250000000000000000e+00,1.831883901065458758e-13,3.384719056289342501e-14
8.160000000000000000e+03,2.266666666666666607e+00,1.816598779699767261e-13,3.370184091736292084e-14
8.220000000000000000e+03,2.283333333333333215e+00,1.801629500865595218e-13,3.355713026832704551e-14
8.280000000000000000e+03,2.299999999999999822e+00,1.786984983257538794e-13,3.341300706101179725e-14
8.340000000000000000e+03,2.316666666666666874e+00,1.772668951738890974e-13,3.326947382257825926e-14
8.400000000000000000e+03,2.333333333333333481e+00,1.758687372816070164e-13,3.312657947926276577e-14
8.460000000000000000e+03,2.350000000000000089e+00,1.745052619828526508e-13,3.298434882506091963e-14
8.520000000000000000e+03,2.366666666666666696e+00,1.731778797068676465e-13,3.284274483833688558e-14
8.580000000000000000e+03,2.383333333333333304e+00,1.718874648796197838e-13,3.270171457208815367e-14
8.640000000000000000e+03,2.399999999999999911e+00,1.706343642674149842e-13,3.256125599600550817e-14
8.700000000000000000e+03,2.416666666666666519e+00,1.694191031859467739e-13,3.242141516137424604e-14
8.760000000000000000e+03,2.433333333333333126e+00,1.682428286127421862e-13,3.228221801825711967e-14
8.820000000000000000e+03,2.450000000000000178e+00,1.671068939856285175e-13,3.214362969514600840e-14
8.880000000000000000e+03,2.466666666666666785e+00,1.660121557705653033e-13,3.200559634381191623e-14
8.940000000000000000e+03,2.483333333333333393e+00,1.649589333375911133e-13,3.186811253865187754e-14
9.000000000000000000e+03,2.500000000000000000e+00,1.639476791100134495e-13,3.173122285098394305e-14
9.060000000000000000e+03,2.516666666666666607e+00,1.629794467303457928e-13,3.159495592489306921e-14
9.120000000000000000e+03,2.533333333333333215e+00,1.620555267526909671e-13,3.145928079480379465e-14
9.180000000000000000e+03,2.549999999999999822e+00,1.611767507514291325e-13,3.132414451177389515e-14
9.240000000000000000e+03,2.566666666666666874e+00,1.603434071913465305e-13,3.118953966254775727e-14
9.300000000000000000e+03,2.583333333333333481e+00,1.595558781554889537e-13,3.105551008832670731e-14
9.360000000000000000e+03,2.600000000000000089e+00,1.588151304082481449e-13,3.092208742872592692e-14
9.420000000000000000e+03,2.616666666666666696e+00,1.581223969899673332e-13,3.078924490191013601e-14
9.480000000000000000e+03,2.633333333333333304e+00,1.574784855494898259e-13,3.065693083616797485e-14
9.540000000000000000e+03,2.649999999999999911e+00,1.568836506311429429e-13,3.052513599389248306e-14
9.600000000000000000e+03,2.666666666666666519e+00,1.563381991600298587e-13,3.039390306979664088e-14
9.660000000000000000e+03,2.683333333333333126e+00,1.558430053958963741e-13,3.026326567735949400e-14
9.720000000000000000e+03,2.700000000000000178e+00,1.553992379320370684e-13,3.013319982057146491e-14
9.780000000000000000e+03,2.716666666666666785e+00,1.550076725288138322e-13,3.000365346005003282e-14
9.840000000000000000e+03,2.733333333333333393e+00,1.546685233021267907e-13,2.987461360098141145e-14
9.900000000000000000e+03,2.750000000000000000e+00,1.543820197047515365e-13,2.974611967579148774e-14
9.960000000000000000e+03,2.766666666666666607e+00,1.541489449997188993e-13,2.961820544223965713e-14
1.002000000000000000e+04,2.783333333333333215e+00,1.539704048464959182e-13,2.949084872038914922e-14
1.008000000000000000e+04,2.799999999999999822e+00,1.538471411463178442e-13,2.936399718579810596e-14
1.014000000000000000e+04,2.816666666666666874e+00,1.537793226890972491e-13,2.923763489663115695e-14
1.020000000000000000e+04,2.833333333333333481e+00,1.537670973707989784e-13,2.911179910422460536e-14
1.026000000000000000e+04,2.850000000000000089e+00,1.538111565260432455e-13,2.898652491687438066e-14
